78752,3580,23:54,4
78731,1179,23:46,2
78730,215,23:32,1
78723,5672,23:25,6
78703,1590,23:20,2
78719,656,23:18,1
78747,741,23:06,1
78749,1868,23:03,2
78741,8187,23:01,9
78741,8187,22:46,9
78748,3553,22:39,4
78745,6477,22:35,7
78744,5759,22:35,6
78759,3226,22:30,4
78744,5759,22:26,6
78724,1847,22:21,2
78727,1618,22:18,2
78701,7073,22:01,8
78724,1847,22:00,2
78753,7836,21:54,8
78721,1769,21:46,2
78724,1847,21:28,2
78759,3226,21:24,4
78753,7836,21:18,8
78745,6477,21:08,7
78702,4835,21:03,5
78701,7073,21:01,8
78758,7562,21:00,8
78704,6502,20:49,7
78702,4835,20:43,5
78745,6477,20:34,7
78741,8187,20:28,9
78731,1179,20:21,2
78739,306,20:16,1
78660,615,20:05,1
78752,3580,19:58,4
78723,5672,19:56,6
78758,7562,19:42,8
78741,8187,19:41,9
78758,7562,19:41,8
78727,1618,19:29,2
78744,5759,19:15,6
78758,7562,19:14,8
78752,3580,19:09,4
78702,4835,18:51,5
78758,7562,18:38,8
78704,6502,18:35,7
78701,7073,18:25,8
78745,6477,18:20,7
78701,7073,18:20,8
78617,909,18:13,1
78702,4835,18:09,5
78759,3226,18:07,4
78723,5672,18:05,6
78753,7836,17:49,8
78702,4835,17:48,5
78758,7562,17:43,8
78745,6477,17:43,7
78723,5672,17:40,6
78758,7562,17:30,8
78729,1754,17:25,2
78753,7836,17:17,8
78724,1847,17:17,2
78749,1868,17:14,2
78741,8187,17:07,9
78748,3553,16:54,4
78759,3226,16:49,4
78702,4835,16:44,5
78744,5759,16:42,6
78759,3226,16:42,4
78723,5672,16:36,6
78759,3226,16:28,4
78753,7836,16:26,8
78704,6502,16:26,7
78745,6477,16:23,7
78744,5759,16:20,6
78741,8187,16:20,9
78759,3226,16:01,4
78729,1754,15:46,2
78758,7562,15:40,8
78723,5672,15:33,6
78702,4835,15:31,5
78748,3553,15:29,4
78717,874,15:00,1
78757,2499,14:58,3
78753,7836,14:55,8
78749,1868,14:45,2
78741,8187,14:38,9
78702,4835,14:31,5
78704,6502,14:18,7
78704,6502,14:13,7
78758,7562,14:10,8
78745,6477,13:46,7
78753,7836,13:37,8
78745,6477,13:34,7
78741,8187,13:21,9
78758,7562,13:19,8
78701,7073,13:19,8
78745,6477,13:15,7
78729,1754,13:00,2
78721,1769,13:00,2
78660,615,12:45,1
78759,3226,12:44,4
78723,5672,12:44,6
78701,7073,12:40,8
78726,622,12:38,1
78727,1618,12:36,2
78751,2504,12:31,3
78704,6502,12:30,7
78723,5672,12:00,6
78757,2499,12:00,3
78758,7562,12:00,8
78753,7836,11:53,8
78753,7836,11:30,8
78744,5759,11:18,6
78721,1769,11:16,2
78750,1275,11:08,2
78701,7073,10:36,8
78751,2504,10:30,3
78752,3580,10:30,4
78744,5759,10:30,6
78751,2504,10:00,3
78748,3553,10:00,4
78753,7836,9:15,8
78719,656,9:07,1
78741,8187,9:01,9
78758,7562,8:28,8
78701,7073,8:23,8
78704,6502,8:00,7
78701,7073,7:55,8
78745,6477,7:39,7
78723,5672,7:36,6
78757,2499,7:25,3
78751,2504,7:05,3
78753,7836,7:05,8
78750,1275,7:00,2
78759,3226,6:31,4
78753,7836,6:15,8
78745,6477,6:00,7
78702,4835,6:00,5
78744,5759,5:25,6
78747,741,5:05,1
78748,3553,5:00,4
78759,3226,4:04,4
78702,4835,3:30,5
78702,4835,3:18,5
78704,6502,3:07,7
78728,54,3:00,1
78723,5672,3:00,6
78741,8187,2:52,9
78722,807,2:39,1
78617,909,2:22,1
78701,7073,2:11,8
78753,7836,2:04,8
78742,139,2:04,1
78704,6502,2:00,7
