GO Highest Offense Desc,GO Location Zip
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT OF BICYCLE              ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT FROM AUTO               ,78751
THEFT                         ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
AGG ROBBERY/DEADLY WEAPON     ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF COIN-OP MACHINE   ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF COIN-OP MACHINE   ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
BURGLARY OF VEHICLE           ,78751
THEFT OF BICYCLE              ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT BY SHOPLIFTING          ,78751
THEFT                         ,78751
THEFT                         ,78751
